id,first_name,last_name,hand,birth_date,country_code,clean_birth_date
100001,Gardnar,Mulloy,R,19131122,USA,1913-11-22
100002,Pancho,Segura,R,19210620,ECU,1921-06-20
100003,Frank,Sedgman,R,19271002,AUS,1927-10-02
100004,Giuseppe,Merlo,R,19271011,ITA,1927-10-11
100005,Richard Pancho,Gonzales,R,19280509,USA,1928-05-09
100006,Grant,Golden,R,19290821,USA,1929-08-21
100007,Abe,Segal,L,19301023,RSA,1930-10-23
100008,Kurt,Nielsen,R,19301119,DEN,1930-11-19
100009,Istvan,Gulyas,R,19311014,HUN,1931-10-14
100010,Luis,Ayala,R,19320918,CHI,1932-09-18
100011,Torben,Ulrich,L,19321004,DEN,1932-10-04
100012,Nicola,Pietrangeli,R,19330911,ITA,1933-09-11
100013,Neale,Fraser,L,19331003,AUS,1933-10-03
100014,Trevor,Fancutt,R,19340714,RSA,1934-07-14
100015,Sammy,Giammalva,R,19340801,USA,1934-08-01
100016,Ken,Rosewall,R,19341102,AUS,1934-11-02
100017,Mal,Anderson,R,19350303,AUS,1935-03-03
100018,Barry,Mackay,R,19350831,USA,1935-08-31
100019,Wieslaw,Gasiorek,R,19360113,POL,1936-01-13
100020,Alejandro,Olmedo,R,19360324,PER,1936-03-24
100021,Ashley,Cooper,R,19360915,AUS,1936-09-15
100022,Roy,Emerson,R,19361103,AUS,1936-11-03
100023,Ramanathan,Krishnan,R,19370411,IND,1937-04-11
100024,Jan Eric,Lundquist,R,19370414,SWE,1937-04-14
100025,Barry,Phillips Moore,R,19370709,AUS,1937-07-09
100026,Andres,Gimeno,R,19370803,ESP,1937-08-03
100027,Gene,Scott,R,19371228,USA,1937-12-28
100028,Manuel,Santana,R,19380510,ESP,1938-05-10
100029,Rod,Laver,L,19380809,AUS,1938-08-09
100030,Fred,Stolle,R,19381008,AUS,1938-10-08
100031,Dimitri,Sturdza,R,19381110,SUI,1938-11-10
100032,Patricio,Rodriguez Chi,R,19381220,CHI,1938-12-20
100033,Wilhelm,Bungert,R,19390401,GER,1939-04-01
100034,Christian,Kuhnke,R,19390413,GER,1939-04-13
100035,Ion,Tiriac,R,19390509,ROU,1939-05-09
100036,Rudy,Hernando,R,19390610,USA,1939-06-10
100037,Nikola,Pilic,L,19390827,CRO,1939-08-27
100038,Jaime,Pinto Bravo,R,19391009,CHI,1939-10-09
100039,Boro,Jovanovic,R,19391021,CRO,1939-10-21
100040,Bob,Hewitt,R,19400112,RSA,1940-01-12
100041,Ned,Neely,R,19400114,USA,1940-01-14
100042,Ryoichi,Mori,R,19400114,JPN,1940-01-14
100043,Zdenek,Slizek,R,19400219,CZE,1940-02-19
100044,Sergei,Likhachev,R,19400320,RUS,1940-03-20
100045,John,Paish,L,19400323,GBR,1940-03-23
100046,Larry,Nagler,R,19400701,USA,1940-07-01
100047,Bob,Carmichael,R,19400704,AUS,1940-07-04
100048,Earl Butch,Buchholz,R,19400916,USA,1940-09-16
100049,Jim,Mcmanus,L,19400916,USA,1940-09-16
100050,Martin,Mulligan,R,19401018,AUS,1940-10-18
100051,Premjit,Lall,R,19401020,IND,1940-10-20
100052,Keishiro,Yanagi,R,19410224,JPN,1941-02-24
100053,Colin,Stubs,R,19410227,AUS,1941-02-27
100054,Jose,Mandarino,R,19410326,BRA,1941-03-26
100055,Cliff,Drysdale,R,19410526,RSA,1941-05-26
100056,Harald,Elschenbroich,R,19410619,GER,1941-06-19
100057,Pierre,Barthes,R,19410913,FRA,1941-09-13
100058,Roger,Taylor,L,19411014,GBR,1941-10-14
100059,Isao,Watanabe,R,19411123,JPN,1941-11-23
100060,Marty,Riessen,R,19411204,USA,1941-12-04
100061,Tom,Edlefsen,R,19411212,USA,1941-12-12
100062,Francois,Jauffret,R,19420209,FRA,1942-02-09
100063,William,Higgins,R,19420402,USA,1942-04-02
100064,Juan,Gisbert,R,19420405,ESP,1942-04-05
100065,Terry,Ryan,R,19420427,RSA,1942-04-27
100066,Frank,Froehling,R,19420519,USA,1942-05-19
100067,Frew,Mcmillan,R,19420520,RSA,1942-05-20
100068,Herb,Fitzgibbon,R,19420714,USA,1942-07-14
100069,Dennis,Ralston,R,19420727,USA,1942-07-27
100070,Jan,Kukal,R,19420913,CZE,1942-09-13
