name,birthday,title,characterName,characterYear,characterAge,characterGender,loveInterest
Ben Platt,09/24/1993,The Politician,Payton Hobart,hs senior,,M,"Alice Charles, Astrid Sloan, River Barkley"
Zoey Deutch,11/10/1994,The Politician,Infinity Jackson,hs senior,,F,
Lucy Boynton,01/17/1994,The Politician,Astrid Sloan,hs senior,,F,"Payton Hobart, River Barkley"
Julia Schlaepfer,03/03/1995,The Politician,Alice Charles,hs senior,,F,"Payton Hobart, James Sullivan"
Laura Dreyfuss,08/22/1988,The Politician,McAfee Westbrook,hs senior,,F,Skye Leighton
Theo Germaine,,The Politician,James Sullivan,hs senior,,M,Alice Charles
Rahne Jones,05/04/1987,The Politician,Skye Leighton,hs senior,,NB,McAfee Westbrook
David Corenswet,07/08/1993,The Politician,River Barkley,hs senior,,M,"Astrid Sloan, Payton Hobart"
Ryan J. Haddad,01/03/1992,The Politician,Andrew Cashman,hs senior,,M,
Alexis Bledel,09/16/1981,Gilmore Girls,Rory Gilmore,hs sophomore,,F,Dean Forester
Keiko Agena,10/03/1973,Gilmore Girls,Lane Kim,hs sophomore,,F,
Liza Weil,06/05/1977,Gilmore Girls,Paris Geller,hs sophomore,,F,
Jared Padalecki,07/19/1982,Gilmore Girls,Dean Forester,hs sophomore,,M,Rory Gilmore
Teal Redmann,09/30/1982,Gilmore Girls,Louise Grant,hs sophomore,,F,
Shelly Cole,08/22/1975,Gilmore Girls,Madeline Lynn,hs sophomore,,F,
Chad Michael Murray,08/24/1981,Gilmore Girls,Tristin Dugray,hs sophomore,,M,
Asa Butterfield,04/01/1997,Sex Education,Otis Milburn,,16,M,"Maeve Wiley, Lily Iglehart, Ola Nyman"
Ncuti Gatwa,10/15/1992,Sex Education,Eric Effiong,,16,M,Adam Groff
Emma Mackey,01/04/1996,Sex Education,Maeve Wiley,,16,F,"Otis Milburn, Jackson Marchetti"
Connor Swindells,09/19/1996,Sex Education,Adam Groff,,16,M,"Eric Effiong, Aimee Gibbs"
Kedar Williams-Stirling,12/14/1994,Sex Education,Jackson Marchetti,,16,M,Maeve Wiley
Aimee Lou Wood,02/03/1995,Sex Education,Aimee Gibbs,,16,F,Adam Groff
Tanya Reynolds,11/4/1991,Sex Education,Lily Iglehart,,16,F,Otis Milburn
Patricia Allison,12/07/1994,Sex Education,Ola Nyman,,16,F,Otis Milburn
Mimi Keene,08/05/1998,Sex Education,Ruby Matthews,,16,F,
Simone Ashley,03/30/1995,Sex Education,Olivia Hanan,,16,F,
Chaneil Kular,08/20/1999,Sex Education,Anwar,,16,M,
Kiernan Shipka,11/10/1999,Chilling Adventures of Sabrina,Sabrina Spellman,,17,F,"Harvey Kinkle, Nicholas Scratch"
Ross Lynch,12/29/1995,Chilling Adventures of Sabrina,Harvey Kinkle,hs junior,,M,Sabrina Spelllman
Jaz Sinclair,07/22/1994,Chilling Adventures of Sabrina,Rosalind Walker,hs junior,,F,
Tati Gabrielle,01/24/1996,Chilling Adventures of Sabrina,Prudence Night,hs junior,,F,
Adeline Rudolph,02/10/1995,Chilling Adventures of Sabrina,Agatha,hs junior,,F,
Lachlan Watson,04/12/2001,Chilling Adventures of Sabrina,Theo Putnam,hs junior,,TM,
Gavin Leatherwood,06/07/1994,Chilling Adventures of Sabrina,Nicholas Scratch,hs junior,,M,Sabrina Spellman
Abigail Cowen,03/18/1998,Chilling Adventures of Sabrina,Dorcas,hs junior,,F,
Jahi Di'Allo Winston,11/30/2003,Everything Sucks!,Luke O'Neil,hs freshman,,M,Kate Messner
Peyton Kennedy,01/04/2004,Everything Sucks!,Kate Messner,hs sophomore,,F,Emaline Addario
Quinn Liebling,03/20/2003,Everything Sucks!,Tyler,hs freshman,,M,
Elijah Stevenson,09/12/1998,Everything Sucks!,Oliver,hs senior,,M,Emaline Addario
Rio Mangini,10/06/2002,Everything Sucks!,McQuaid,hs freshman,,M,
Sydney Sweeney,09/12/1997,Everything Sucks!,Emaline Addario,hs junior,,F,"Oliver, Kate Messner"
Abi Brittle,05/26/2000,Everything Sucks!,Leslie,hs sophomore,,F,
Chris Colfer,05/27/1990,Glee,Kurt Hummel,hs sophomore,,M,
Lea Michele,08/29/1986,Glee,Rachel Berry,hs sophomore,,F,Finn Hudson
Kevin McHale,06/14/1988,Glee,Artie Abrams,hs freshman,,M,
Naya Rivera,01/12/1987,Glee,Santana Lopez,hs sophomore,,F,Noah 'Puck' Puckerman
Jenna Ushkowitz,04/28/1986,Glee,Tina Cohen-Chang,hs freshman,,F,
Amber Riley,02/15/1986,Glee,Mercedes Jones,hs sophomore,,F,
Mark Salling,08/17/1982,Glee,Noah 'Puck' Puckerman,hs sophomore,,M,"Quinn Fabray, Santana Lopez"
Heather Morris,02/01/1987,Glee,Brittany S. Pierce,hs sophomore,,F,
Harry Shum Jr.,04/28/1982,Glee,Mike Chang,hs sophomore,,M,
Cory Monteith,05/11/1982,Glee,Finn Hudson,hs sophomore,,M,"Rachel Berry, Quinn Fabray"
Dianna Agron,04/30/1986,Glee,Quinn Fabray,hs sophomore,,F,"Finn Hudson, Noah 'Puck' Puckerman"
Lauren Potter,05/10/1990,Glee,Becky Jackson,hs sophomore,,F,
Finn Wolfhard,12/23/2002,Stranger Things,Michael 'Mike' Wheeler,7th grade,,M,
Millie Bobby Brown,02/19/2004,Stranger Things,Eleven,7th grade,,F,
Gaten Matarazzo,09/08/2002,Stranger Things,Dustin Henderson,7th grade,,M,
Caleb McLaughlin,10/13/2001,Stranger Things,Lucas Sinclair,7th grade,,M,
Natalia Dyer,01/13/1995,Stranger Things,Nancy Wheeler,hs senior,,F,Steve Harrington
Charlie Heaton,02/06/1994,Stranger Things,Jonathon Byers,hs senior,,M,
Joe Keery,04/24/1992,Stranger Things,Steve Harrington,hs senior,,M,Nancy Wheeler
Noah Schnapp,10/03/2004,Stranger Things,Will Byers,7th grade,,M,
Sophia Lillis,02/13/2002,I Am Not Okay With This,Sydney Novak,hs junior,,F,
Wyatt Oleff,07/13/2003,I Am Not Okay With This,Stanley Barber,hs junior,,M,
Sofia Bryant,12/26/1999,I Am Not Okay With This,Dina,hs junior,,F,
Richard Ellis,03/12/1994,I Am Not Okay With This,Brad Lewis,hs junior,,M,
Zachary S. Williams,11/05/1999,I Am Not Okay With This,Rick Berry,hs junior,,M,
Keir Gilchrist,09/28/1992,Atypical,Sam Gardner,hs senior,,M,
Brigette Lundy-Paine,08/10/1994,Atypical,Casey Gardner,hs sophomore,,F,Evan Chapin
Graham Rogers,12/16/1990,Atypical,Evan Chapin,,16,M,Casey Gardner
Jenna Boyd,03/04/1993,Atypical,Paige,hs senior,,F,
Colin Ford,09/12/1996,Daybreak,Josh Wheeler,hs junior,,M,"Samaira 'Sam' Dean, KJ"
Alyvia Alyn Lind,07/27/2007,Daybreak,Angelica Green,6th grade,,F,
Sophie Simnett,12/05/1997,Daybreak,Samaira 'Sam' Dean,hs junior,,F,Josh Wheeler
Austin Crute,10/24/1995,Daybreak,Wesley Fists,hs junior,,M,
Cody Kearsley,03/10/1991,Daybreak,Turbo Pokaski,hs senior,,M,
Jeanté Godlock,04/24/1988,Daybreak,Mona Lisa,hs junior,,F,
Gregory Kasyan,04/12/2001,Daybreak,Eli Cardashyan,hs senior,,M,
Charlie Plummer,05/24/1999,Looking for Alaska,Miles 'Pudge' Halter,hs junior,,M,"Alaska Young, Lara Buterskaya"
Kristine Froseth,09/21/1995,Looking for Alaska,Alaska Young,hs junior,,F,"Miles 'Pudge' Halter, Jake"
